"bs","pz_amor","vl_recuperacao","EAD","lgd","COD_OR_REC","COD_tp_garantia","tempo_sobrev1","tempo_sobrev2"
0,108,41828.63,21613.59,0.9733895148,2,2,75,41
24.98,240,86247.83,80184.78,0,1,2,64,6
24.98,204,21160.89,26116.26,0,2,2,79,23
24.98,204,37080.84,52428.97,0.6764215811,2,2,58,34
24.98,168,10728.98,13921.58,0.0565816726,2,2,98,7
24.98,156,19012.62,22438.41,0.1526752564,2,2,104,2
92,240,28635.18,30637.85,0,1,2,64,24
24.98,240,70069.3,87829.43,0.6345491646,1,2,66,42
50,240,0,28586.02,0.8716875884,1,2,57,57
3,204,65462.02,81189.95,0.1937176954,2,2,107,2
24.98,138,1716.38,14902,0.5034731691,1,2,65,38
24.98,204,69940.3,67554.24,0,2,2,56,2
1,223,0,91975.2,0.7246887031,1,2,73,5
24.98,150,22942.69,26136.16,0.0004841214,2,2,64,2
29,240,0,70350.01,0.6520625299,1,2,94,19
24.98,24,2444.44,6062.01,0.1254332211,1,2,66,7
24.98,83,5857.49,6119.64,0,1,2,93,1
24.98,60,4997.11,8066.38,0.0037123759,1,2,66,8
24.98,156,47990.59,76200.1,0.6667527941,2,2,53,34
3,239,80125.74,82708.17,0,1,2,72,1
89,108,0,22713.27,0.2522554188,2,2,77,31
24.98,60,381.17,367.99,0,1,2,66,11
24.98,96,0,23716.39,1,1,2,73,23
24.98,120,14598.08,19173.89,0,1,2,54,9
0,166,10439.89,14111.3,0.2601751788,1,2,93,16
24.98,60,1751.13,7854.07,0.2357622233,1,2,49,2
24.98,120,33728.67,25320.24,0,2,2,53,20
81,239,23875.74,30330.81,0,1,2,89,19
0,120,27167.17,17234.8,1,2,2,78,27
24.98,96,0,15345.01,1,1,2,92,4
24.98,60,867.48,847.99,0,1,2,66,13
9,120,0,6894.03,0.3108650949,2,2,82,38
1,180,21713.69,24128.24,0.1000715344,1,2,85,16
38,239,0,23162.08,0.6180286979,1,2,82,20
24.98,180,33909.88,32622.64,0,1,2,66,2
24.98,96,13694.62,37192.67,0.0629466481,2,2,65,20
24.98,239,42509.01,42903.06,0,1,2,48,17
24.98,204,68098.7,66884.76,0,2,2,52,2
24.98,80,101558.63,87927.24,0,2,2,51,10
24.98,239,28546.71,38615,0.6998009255,1,2,47,37
24.98,240,22545.84,23390,0,1,2,77,14
24.98,120,14111.43,35798.24,0.5614303301,2,2,51,39
24.98,96,505.1,494.67,0,1,2,102,2
0,180,0,14095.16,0.6464711549,1,2,70,15
24.98,96,5658.78,9304.57,0.0563773116,1,2,81,3
24.98,239,54496.84,49985.48,0,1,2,44,6
24.98,60,2427.07,2249.2,0,1,2,66,24
24.98,60,3982.45,13738.81,0.0080473017,1,2,51,26
24.98,108,58716.12,77961.08,0,2,2,48,14
24.98,239,6440.25,6898.23,0,1,2,58,10
1,239,21707.48,33523.67,0.9883337267,1,2,59,54
2,180,330.55,26575.39,0.599407645,1,2,75,34
24.98,120,25275.53,35492.74,0,2,2,63,9
89,192,2700.65,4097.27,0,2,2,90,12
3,239,19263.43,19376.02,1,1,2,48,58
5,144,23316.52,66584.2,0.584909865,2,2,53,55
94,180,37984.92,38386.84,0,1,2,54,2
19,239,0,9682.73,1,1,2,106,4
24.98,144,59562.94,76508.91,0.0014899798,2,2,75,11
24.98,180,18350.08,25510.77,0.6018509592,1,2,38,35
25,240,0,26709.2,0.7237031845,4,2,38,1
25,204,0,36818.14,0.6536746393,4,3,69,4
24.98,203,83422.22,84905.6,0,1,2,40,2
0,129,43967.52,52128.58,0.1565563459,2,2,91,9
24.98,66,6439.65,11633.91,0.009563022,1,2,41,11
52,240,176713.88,180308.38,0,1,2,53,3
24.98,180,13226.5,19772.07,0.569810037,1,2,46,30
24.98,180,41948.81,37093.8,0,1,2,46,7
